epoch,train_loss,train_acc,val_acc,lr,global_step
111,0.007976,99.75,98.11,0.0001000000,90117
112,0.004285,99.87,98.21,0.0001000000,90117
113,0.006544,99.75,98.16,0.0001000000,90117
114,0.005945,99.81,98.07,0.0001000000,90117
115,0.006167,99.76,97.98,0.0001000000,90117
116,0.010836,99.69,98.02,0.0001000000,90117
117,0.005369,99.84,98.11,0.0001000000,90117
118,0.005002,99.88,98.07,0.0001000000,90117
119,0.007699,99.79,97.70,0.0001000000,90117
120,0.006016,99.79,98.11,0.0001000000,90117
121,0.009250,99.79,98.11,0.0001000000,90117
122,0.005352,99.84,98.02,0.0001000000,90117
123,0.003605,99.89,98.21,0.0001000000,90117
124,0.003925,99.82,98.11,0.0001000000,90117
125,0.006888,99.75,98.07,0.0001000000,90117
126,0.007210,99.71,98.11,0.0001000000,90117
127,0.005837,99.81,98.16,0.0001000000,90117
128,0.004409,99.85,97.98,0.0001000000,90117
129,0.007587,99.80,98.34,0.0001000000,90117
130,0.002783,99.90,98.21,0.0001000000,90117
131,0.005506,99.83,98.11,0.0001000000,90117
132,0.006968,99.75,98.16,0.0001000000,90117
133,0.003584,99.89,98.02,0.0001000000,90117
134,0.003341,99.89,98.02,0.0001000000,90117
135,0.007363,99.64,97.93,0.0001000000,90117
136,0.005766,99.84,98.11,0.0001000000,90117
137,0.003164,99.89,98.02,0.0001000000,90117
138,0.007896,99.80,98.11,0.0001000000,90117
139,0.005375,99.80,98.21,0.0001000000,90117
140,0.002824,99.92,98.25,0.0001000000,90117
141,0.003874,99.90,98.11,0.0001000000,90117
142,0.005187,99.82,97.98,0.0001000000,90117
143,0.007759,99.71,97.98,0.0001000000,90117
144,0.002735,99.92,98.07,0.0001000000,90117
145,0.005256,99.82,98.34,0.0001000000,90117
146,0.005528,99.81,98.25,0.0001000000,90117
147,0.005870,99.83,98.07,0.0001000000,90117
148,0.004289,99.87,98.02,0.0001000000,90117
149,0.003159,99.90,98.07,0.0001000000,90117
150,0.005309,99.84,98.39,0.0001000000,90117
151,0.003752,99.89,98.16,0.0001000000,90117
152,0.004598,99.83,97.93,0.0001000000,90117
153,0.005177,99.84,98.07,0.0001000000,90117
154,0.002344,99.93,98.11,0.0001000000,90117
155,0.001339,99.94,98.11,0.0001000000,90117
156,0.006370,99.81,98.21,0.0001000000,90117
157,0.003239,99.85,97.98,0.0001000000,90117
158,0.003640,99.83,98.02,0.0001000000,90117
159,0.004901,99.80,98.16,0.0001000000,90117
160,0.003155,99.90,97.84,0.0001000000,90117
161,0.004556,99.85,98.02,0.0001000000,90117
162,0.003502,99.88,98.02,0.0000100000,90117
163,0.003032,99.90,98.07,0.0000100000,90117
164,0.003028,99.90,98.07,0.0000100000,90117
165,0.001115,99.96,98.07,0.0000100000,90117
166,0.001348,99.94,98.11,0.0000100000,90117
167,0.001258,99.97,98.11,0.0000100000,90117
168,0.001757,99.91,98.02,0.0000100000,90117
169,0.001288,99.97,97.98,0.0000100000,90117
170,0.001048,99.98,98.11,0.0000100000,90117
171,0.001023,99.96,98.16,0.0000100000,90117
172,0.001029,99.97,98.16,0.0000100000,90117
173,0.000738,99.98,98.02,0.0000100000,90117
174,0.000914,99.98,98.11,0.0000100000,90117
175,0.000502,99.99,98.11,0.0000100000,90117
176,0.000847,99.97,98.11,0.0000100000,90117
177,0.000342,99.99,98.07,0.0000100000,90117
178,0.000547,99.97,98.07,0.0000100000,90117
179,0.000482,99.99,98.07,0.0000100000,90117
180,0.000376,99.99,98.07,0.0000100000,90117
181,0.001475,99.94,98.07,0.0000100000,90117
182,0.000679,99.98,97.98,0.0000100000,90117
183,0.000297,100.00,97.98,0.0000100000,90117
184,0.000644,99.97,98.11,0.0000100000,90117
185,0.000595,99.97,98.02,0.0000100000,90117
186,0.000370,99.99,98.02,0.0000100000,90117
187,0.000591,99.99,98.11,0.0000100000,90117
188,0.000362,99.99,98.02,0.0000100000,90117
189,0.000989,99.97,98.07,0.0000100000,90117
190,0.000840,99.98,98.11,0.0000100000,90117
191,0.000489,99.99,98.11,0.0000100000,90117
192,0.000891,99.98,98.11,0.0000100000,90117
193,0.000411,99.99,98.02,0.0000100000,90117
194,0.000168,100.00,98.07,0.0000100000,90117
195,0.000910,99.97,98.07,0.0000100000,90117
196,0.000210,100.00,98.11,0.0000100000,90117
197,0.000444,99.99,98.21,0.0000100000,90117
198,0.001124,99.98,98.07,0.0000100000,90117
199,0.000405,99.99,98.07,0.0000100000,90117
200,0.000384,99.99,98.02,0.0000100000,90117
201,0.000615,99.99,98.11,0.0000100000,90117
202,0.000360,99.98,98.07,0.0000100000,90117
203,0.000444,99.97,98.07,0.0000100000,90117
204,0.000816,99.98,98.02,0.0000100000,90117
205,0.000375,99.98,97.98,0.0000100000,90117
206,0.000417,99.99,98.02,0.0000100000,90117
207,0.000187,100.00,98.07,0.0000100000,90117
208,0.000270,99.99,98.02,0.0000100000,90117
209,0.000820,99.97,98.07,0.0000100000,90117
210,0.000216,100.00,98.11,0.0000100000,90117
211,0.000386,99.98,98.11,0.0000100000,90117
212,0.000577,99.97,98.16,0.0000100000,90117
213,0.000503,99.99,98.07,0.0000100000,90117
214,0.000382,99.99,98.11,0.0000100000,90117
215,0.000364,99.99,98.11,0.0000100000,90117
216,0.000305,99.98,98.07,0.0000100000,90117
217,0.000224,99.99,98.07,0.0000100000,90117
218,0.000153,100.00,98.02,0.0000100000,90117
219,0.000094,100.00,98.07,0.0000100000,90117
220,0.000374,99.99,98.11,0.0000100000,90117
221,0.000199,99.99,98.11,0.0000100000,90117
222,0.000366,99.99,98.11,0.0000100000,90117
223,0.000369,99.99,98.16,0.0000100000,90117
224,0.000551,99.99,98.11,0.0000100000,90117
225,0.000408,99.99,98.21,0.0000100000,90117
226,0.001125,99.98,98.11,0.0000100000,90117
227,0.000171,100.00,98.16,0.0000100000,90117
228,0.000426,99.99,98.11,0.0000100000,90117
229,0.000258,100.00,98.11,0.0000100000,90117
230,0.000128,100.00,98.16,0.0000100000,90117
231,0.000441,99.99,98.02,0.0000100000,90117
232,0.000098,100.00,98.11,0.0000100000,90117
233,0.000246,99.99,98.21,0.0000100000,90117
234,0.000108,100.00,98.16,0.0000100000,90117
235,0.000233,99.99,98.16,0.0000100000,90117
236,0.000217,99.99,98.07,0.0000100000,90117
237,0.000144,100.00,98.11,0.0000100000,90117
238,0.000139,100.00,98.11,0.0000100000,90117
239,0.000238,99.99,98.11,0.0000100000,90117
240,0.000172,99.99,98.07,0.0000100000,90117
241,0.000212,99.99,98.11,0.0000100000,90117
242,0.000935,99.97,98.11,0.0000100000,90117
243,0.000330,99.98,98.11,0.0000100000,90117
244,0.000231,99.99,98.11,0.0000100000,90117
245,0.000074,100.00,98.11,0.0000100000,90117
246,0.000135,100.00,98.16,0.0000100000,90117
247,0.000384,99.99,98.16,0.0000100000,90117
248,0.000095,100.00,98.21,0.0000100000,90117
249,0.000235,99.99,98.16,0.0000100000,90117
250,0.000078,100.00,98.16,0.0000100000,90117
251,0.000477,99.99,98.21,0.0000100000,90117
252,0.000280,99.99,98.16,0.0000100000,90117
253,0.000419,99.98,98.11,0.0000100000,90117
254,0.000121,100.00,98.11,0.0000100000,90117
255,0.000092,100.00,98.11,0.0000100000,90117
256,0.000263,99.99,98.07,0.0000100000,90117
257,0.000239,99.99,98.11,0.0000100000,90117
258,0.000119,100.00,98.07,0.0000100000,90117
259,0.000130,100.00,98.16,0.0000100000,90117
260,0.000384,99.98,98.16,0.0000100000,90117
261,0.000441,99.98,98.07,0.0000100000,90117
262,0.000500,99.98,98.16,0.0000100000,90117
263,0.000179,100.00,98.11,0.0000100000,90117
264,0.000158,99.99,98.11,0.0000100000,90117
265,0.000079,100.00,98.21,0.0000100000,90117
266,0.000109,100.00,98.16,0.0000100000,90117
267,0.001110,99.97,98.25,0.0000100000,90117
268,0.000170,100.00,98.25,0.0000100000,90117
269,0.000222,99.99,98.11,0.0000100000,90117
270,0.000125,100.00,98.21,0.0000100000,90117
271,0.000358,99.99,98.16,0.0000100000,90117
272,0.000190,99.99,98.16,0.0000100000,90117
273,0.000096,100.00,98.21,0.0000100000,90117
274,0.000094,100.00,98.16,0.0000100000,90117
275,0.000044,100.00,98.16,0.0000100000,90117
276,0.000092,100.00,98.16,0.0000100000,90117
277,0.000056,100.00,98.11,0.0000100000,90117
278,0.000091,100.00,98.11,0.0000100000,90117
279,0.000080,100.00,98.07,0.0000100000,90117
280,0.000073,100.00,98.11,0.0000100000,90117
281,0.000153,99.99,98.07,0.0000100000,90117
282,0.000109,100.00,98.11,0.0000100000,90117
283,0.000098,100.00,98.16,0.0000100000,90117
284,0.000150,99.99,98.07,0.0000100000,90117
285,0.000057,100.00,98.07,0.0000100000,90117
286,0.000080,100.00,98.02,0.0000100000,90117
287,0.000074,100.00,98.07,0.0000100000,90117
288,0.000062,100.00,98.07,0.0000100000,90117
289,0.000347,99.99,98.11,0.0000100000,90117
290,0.000926,99.98,98.21,0.0000100000,90117
291,0.000233,99.99,98.07,0.0000100000,90117
292,0.000258,99.99,98.16,0.0000100000,90117
293,0.000093,100.00,98.21,0.0000100000,90117
294,0.000499,99.99,98.16,0.0000100000,90117
295,0.000125,100.00,98.21,0.0000100000,90117
296,0.000058,100.00,98.21,0.0000100000,90117
297,0.000051,100.00,98.16,0.0000100000,90117
298,0.000320,99.98,98.11,0.0000100000,90117
299,0.000044,100.00,98.11,0.0000100000,90117
300,0.000123,100.00,98.16,0.0000100000,90117
301,0.000055,100.00,98.11,0.0000100000,90117
302,0.000044,100.00,98.16,0.0000100000,90117
303,0.000029,100.00,98.16,0.0000100000,90117
304,0.000152,99.99,98.11,0.0000100000,90117
305,0.000096,100.00,98.11,0.0000100000,90117
306,0.000037,100.00,98.16,0.0000100000,90117
307,0.000344,99.99,98.16,0.0000100000,90117
308,0.000055,100.00,98.16,0.0000100000,90117
309,0.000086,100.00,98.16,0.0000100000,90117
310,0.000263,99.99,98.16,0.0000100000,90117
311,0.000041,100.00,98.21,0.0000100000,90117
312,0.000337,99.98,98.21,0.0000100000,90117
313,0.000102,100.00,98.16,0.0000100000,90117
314,0.000052,100.00,98.16,0.0000100000,90117
315,0.000769,99.99,98.11,0.0000100000,90117
316,0.000130,100.00,98.16,0.0000100000,90117
317,0.000060,100.00,98.16,0.0000100000,90117
318,0.000063,100.00,98.16,0.0000100000,90117
319,0.000035,100.00,98.16,0.0000100000,90117
320,0.000083,100.00,98.16,0.0000100000,90117
321,0.000090,100.00,98.11,0.0000100000,90117
322,0.000048,100.00,98.07,0.0000100000,90117
323,0.000050,100.00,98.07,0.0000010000,90117
